0,1,0 | 6,35,12 | S=(0,0) | I= | sp=937 | ip=
0,1,0 | 6,35,12 | S=(0,0) | I= | sp=938 | ip=
0,1,0 | 6,45,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,45,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,45,8 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 6,45,12 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 6,45,12 | S=(0,0) | I= | sp=912 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 7,32,4 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 7,33,4 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 7,33,4 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 7,33,4 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 7,33,4 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=93 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=9913 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 7,33,6 | S=(0,0) | I= | sp=925 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=883 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=23 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=33 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=93 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=97 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=98 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=9913 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=924 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=925 | ip=
0,1,0 | 7,33,7 | S=(0,0) | I= | sp=929 | ip=
0,1,0 | 7,33,8 | S=(0,0) | I= | sp=1 | ip=
0,1,0 | 7,33,8 | S=(0,0) | I= | sp=882 | ip=
0,1,0 | 7,33,8 | S=(0,0) | I= | sp=883 | ip=
