0 | 6 | S=(0,0) | I= | sp=921 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=921 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=922 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=922 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=922 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=922 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=924 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=925 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=926 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=926 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=927 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=928 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=928 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=928 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=928 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=929 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=929 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=929 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=929 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=933 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=933 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=934 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=934 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=934 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=934 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=935 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=935 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=935 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=936 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=937 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=938 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=938 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=938 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=938 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=943 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=944 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=944 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=945 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=945 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=945 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=945 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9916 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=9916 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=9916 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9916 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=9917 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=9917 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=9917 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=9917 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=947 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=947 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=947 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=947 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=951 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=951 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=952 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=952 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=952 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=952 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=955 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=955 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=955 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=955 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=1
0 | 6 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=2
0 | 6 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=956 | ip= | E=(0,1,0,0) | ep=5
0 | 6 | S=(0,0) | I= | sp=957 | ip= | E=(0,1,0,0) | ep=3
0 | 6 | S=(0,0) | I= | sp=957 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=1 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=882 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=883 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=884 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=885 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=886 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=886 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=23 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=33 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=24 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=24 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=2
0 | 7 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=3
0 | 7 | S=(0,0) | I= | sp=993 | ip= | E=(0,1,0,0) | ep=5
0 | 7 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=1
0 | 7 | S=(0,0) | I= | sp=93 | ip= | E=(0,1,0,0) | ep=2
